Auteur(s),Titre,Edition,Date,ISBN
Dessins de Tôru Fujisawa,3 - Rose Hip Rose T03,Pika éditions,2008,9782845998681
histoire d'une cité lorraine,Les grands jours de Saint-Nicolas-de-Port - histoire d'une cité lorraine,Livre d'histoire,2004,9782841781591
De Serge Bloch,"SamSam.

3 - Samnounours Se Fache N3",Bayard Jeunesse,2001,9782747001151
Xxx,Carnet cuir OM MM,DG-Exodif,"15 x 10 x 2,2 cm",3660341227961
Anonyme,Europe Chine Une Nlle,Europe,"
                REVUE EUROPE
                
              ",3260050410731
Edgar Allan Poe,Poemes Poe Al,Flammarion,2006,9782082306171
programme 2001,Chimie 1ère S,Nathan,2002,9782091845661
De Colin Dexter,Portée disparue,Traduit par Elisabeth Luc,350,10-18
15e arrondissement,"Les nouveaux mystères de Paris.

10 - Les eaux troubles de javel",Fleuve Editions,1994,9782265053311
Livre adulte,En chemin avec Jésus Christ,Le Sénevé,2010,9782283721711
Jean-Noël Grandhomme,Chronologie de la Première Guerre mondiale,Éditions Ouest-France ,2004,9782737335181
"Préhistoire, évolution, culture",L'Homme premier,Odile Jacob,2000,9782738108661
ietnam,Vietnam 8ed,Lonely Planet,2007,9782840706571
Guillot Xavier,Habiter la modernité,Presses Universitaires de Saint-Étienne,2006,9782862724171
De Jean-Pierre Bayard,Le symbolisme du caducée,Guy Trédaniel,"16 x 24 x 1,3 cm","
Guy Trédaniel
"
De Pierre Pelot,"Dylan Stark

Sierra Brûlante",Sous le vent classiques,"
Dylan Stark
",Sous le vent classiques
les adolescents et la parole,Génération téléphone,Albin Michel GF,221,Albin Michel GF
roman,Djemila,Calmann-Lévy,168,"
Calmann-Lévy
"
chronique d'une action communiste des années 1930 à 2001,"Communiste, une aventure militante",Le Temps des Cerises,400 g,"
Le Temps des Cerises
"
roman,Le Vin étrange,Traduit par Marie Pellegrin,2007,9782915342161
mille ans d'histoire et d'architecture,Nantes : Mille ans d'histoire et d'architecture,Illustrations de Philippe Caharel,127,Siloë
De Jacques Lacarrière,Les Inspirés du bord des routes,Édité par Jacques Verroust,1978,9782020048101
"De Catherine Metzmeyer, Laurent Audouin",Ce livre porte-bonheur !,Casterman,2006,9782203153141
"De Véronique, Davina",Véronique et Davina racontent,Robert Laffont,1984,9782221013021
la défense par actions civiles,La guerre civilisée,Traduit par Bernard Lazarevitch,1995,9782706106231
La Culture En Peril,Destin De L Occident,Table Ronde,2001,9782710312031
"De Jean-Pierre Ponssard, David Sevy, Hervé Tanguy",Économie de l'entreprise - 2e édition,École Polytechnique,2005,9782730212441
"Sentir, ressentir et agir : l'anatomie expérimentale du body-mind centering",Nouvelles De Danse 50 : Sentir Ressentir Ag,Contredanse,2002,9782930146201
"Ammouche-Kremers, Michèle / Hillenaar, Henk",Jeunes auteurs de Minuit,Rodopi,2004,9789051835441
De Marc Romainville,L'échec dans l'université de masse,L'Harmattan,2003,9782747501491
De Mano Gentil,Boucher double,Baleine,1996,9782842190361
De Luce Janin-Devillars,Il n'est jamais trop tard pour changer sa vie,La Martinière,2001,9782846750011
De Natalia Ginzburg,Tous nos hiers,Traduit par Nathalie Bauer,2003,9782867463341
De Charlotte Lagréoulle,Les bonnes recettes du Béarn,"Illustrations de Marc Hauvette, Yann Renaud","22 x 17 x 0,3 cm","
LAVIELLE
"
"De Philippe Huet, Jean Chevallier",Macareux,Hesse,24,"
Hesse
"
De Reginald Hill,Un amour d'enfant,Traduit par Gérard Coisne,1991,9782702421611
chic-en-stock,Le guide des magasins d'usine,Seuil,1995,9782020252591
"Graur, Alexandre",Nom d'agent et d'adjectif en roumain,Honoré Champion,138,3600120108241
lettres,Jusqu'à plus d'encre,Fédérop,"21 x 15 x 0,7 cm","
Fédérop
"
un enjeu pour le système de santé,L'éducation pour la santé des patients,Inpes,2001,9782908444711
De Françoise Dax-Boyer,"Leila, la reine des chats sauvages",Illustrations de Elsa Dax-Kerr,2005,9782915695021
rapport au garde des sceaux,L'Ambition Raisonnee D'Une Justice Apaisee,Dirigé par Serge Guinchard,2008,9782110072771
"Hosking, Geoffrey",Russia And The Russians,Adult Pbs,"19,8 x 12,9 x 3,2 cm",ADULT PBS
De Hans Belting,Pour une anthropologie des images,Traduit par Jean Bernard Torrent,2004,9782070767991
Collectif,Panneaux de signalisation,Nathan,"
ACC MATERIEL
",3133093726131
De Collectif,L'année de la terminale STG,Bordas,2007,9782047310021
De Jean Morange,Droits de l'homme et libertés publiques,Presses universitaires de France,2000,9782130503781
Karine-Marie Amiot,Super Copines (Les) ( + Stickers),Fleurus,2007,9782215045991
De Jean Anglade,Y'a pas d'bon Dieu,Pocket,281,Pocket
roman,Maria Zéla,Éd. Amalthée,260 g,Éd. Amalthée
[29 septembre 1974-28 février 1975],Journal et lettres de prison,Éditions des femmes-Antoinette Fouque,1976,9782721000361
du Ve siècle à nos jours,La poésie arménienne du Ve siècle à nos jours,La Différence,2006,9782729116101
Dirigé par François Gallix,"Lawrence, Women in Love","Préface de Émile Delavenay, Alan Sillitoe",2001,9782729807481
théories et politiques,Keynes aujourd'hui - théories et politiques,Économica,1985,9782717808421
les révolutionnaires excluent les citoyennes,1789-1799 : combats de femmes,Autrement,2003,9782746703971
"Les expériences britanniques, françaises et new yorkaises",Policer la proximité,L'Harmattan,2003,9782747535601
Une romancière du siècle des Lumières,Sarah Fielding (1710-1768),L'Harmattan,2005,9782747593151
DCEM - Préparation aux épreuves classantes nationales,Urologie,Vuibert,2007,9782843713941
Collectif,"travail, critique du travail, emancipation",Syllepse,2006,9782849500941
Brutails Jeanauguste,"Pour Comprendre Les Monuments De La France, Notions Pratiques D'Archeologie A L'Usage Des Touristes",Gérard Monfort,2002,9782852265431
les comprendre et les construire,Cadrans solaires - les comprendre et les construire,Edisud,1995,9782857448051
"De Marianne Lanavère, Antonia Birnbaum, Claire Guézengar",Olivier Nottellet,Traduit par John Tittensor,2006,9782915772081
De Isabelle Duval,Meilleurs Récits de ... T06 Delaby / Duval,Hibou,2005,9782930283531
De Cornelia Funke,Le prince des voleurs,Traduit par Marie-Claude Auger,2007,9782012008281
De Christophe Klimczak,É́chocardiographie clinique,Masson,"21 x 13,5 cm","
Masson
"
De Allan Pease,"Interpreter Les Gestes, Mimiques, Attitudes",Marabout,1997,9782501022811
Contribution au retablissement de l'unanimité chrétienne,La notion chrétienne de l’autorité,Vrin,2002,9782711604531
De Ellery Queen,L'arche de noe ***,J'ai Lu,256,"
J'ai Lu
"
témoignages,Le temps des métiers,FeniXX réédition numérique (Éditions du Mont),24 cm,"
FeniXX réédition numérique (Éditions du Mont)
"
Mollino Carlo,Carlo Mollino Polaroid /anglais,Umberto Alleman,2007,9788842209331
De Eugène Noël,"Molière, son théâtre et son ménage. 3e édition",Hachette BNF,2018,9782020007481
Volume 3,Oeuvres complètes,Autres contributions de Claude David,1984,9782070110841
"Causalité, Causalité",Philosophie 89,Les Éditions de Minuit,2006,9782707319531
roman,"Une aventure de Nicholas Fandorine

Bon sang ne saurait mentir - tome 1",Traduit par Paul Lequesne,2008,9782258067691
roman,Chaudron (le),Traduit par Anne-Yvonne Gouzard,2008,9782742775491
Le protestantisme face au pouvoir,Le droit de résister,Labor et Fides,1990,9782830905991
quatre poètes soviétiques en France,Ou bien est-ce un reve ? : quatre poetes sovietiques en France,Préface de Henri Deluy,117,"
Créaphis
"
Randle,Type And Typography From Matrix /Anglais,Mark Batty,2007,9780971568761
Xxx,Bernar venet au champ de mars,Beaux Arts Ed,2006,9782842781491
