titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
Les migrations internationales;;REVUE;CAHIERS FRANCAIS/CHAPPAZ SEVERINE/Directeur;Paris;Documentation Française (la);2002;;;;95;;;132 CAH;MIGRATION/IMMIGRATION/POPULATION/POLITIQUE DE L'IMMIGRATION/POLITIQUE SOCIALE/POLITIQUE GOUVERNEMENTALE/POLITIQUE COMMUNE/QUESTIONS INTERNATIONALES/DROIT D'ASILE/DROIT INTERNATIONAL/PAYS INDUSTRIALISES/PAYS SOCIALISTES/RELATIONS EST OUEST/RELATIONS NORD SUD/REFUGIE/MAIN D'OEUVRE/MAIN D'OEUVRE ETRANGERE/INTEGRATION SOCIALE/IMMIGRE;;307;03/04/2002;2005-10-06
Le droit des médias;;OUVRAGE;DERIEUX EMMANUEL;Paris;Dalloz;2013;978-2-247-12946-1;;Français;196 p.;Connaissance du Droit;;71 DER;MEDIA/INFORMATION/COMMUNICATION/PRATIQUE DE L'INFORMATION/PRESSE ECRITE/PRESSE/AUDIOVISUEL/RADIO/TELEVISION/CINEMA/DROIT/QUESTIONS JURIDIQUES/LEGISLATION/REGLEMENTATION/DROIT PUBLIC/DROIT DES SOCIETES/DROITS D'AUTEUR/PROPRIETE INTELLECTUELLE/LIBERTE D'EXPRESSION/LIBERTE DE L'INFORMATION/LIBERTE DE LA PRESSE/LIBERTES INDIVIDUELLES/JURISPRUDENCE/ENTREPRISE DE PRESSE/AGENCE DE PRESSE/AIDE DE L'ETAT/TUTELLE/CONSEIL SUPERIEUR DE L'AUDIOVISUEL/REGIME JURIDIQUE/SERVICE PUBLIC/ENTREPRISE PRIVEE/PROGRAMMATION/PROGRAMME DE TELEVISION/PUBLICITE/QUOTA/DIFFUSION/DROIT ADMINISTRATIF/JOURNALISME/JOURNALISTE/CONTRAT DE TRAVAIL/DROIT DU TRAVAIL/LICENCIEMENT/DEMISSION/RESPONSABILITE/INFRACTION/DROIT DE REPONSE/DIFFAMATION/RACISME/RESPONSABILITE;;;;2014-06-20
Collectivités locales et développement économique;Elus locaux, entreprises et territoires;OUVRAGE;MADIOT YVES/GOUSSEAU JEAN-LOUIS/RAFFARIN JEAN-PIERRE/Préface;Paris;Imprimerie Nationale/Dexia;2002;;;;343;Action Locale;;412 MAD;AIDE AUX ENTREPRISES/DEVELOPPEMENT LOCAL/AIDE LOCALE/AIDE REGIONALE/POLITIQUE LOCALE/POLITIQUE REGIONALE/PRET/CREDIT/PRISE DE PARTICIPATION/EXONERATION FISCALE/CREATION D'ENTREPRISE/GESTION D'ENTREPRISE/LEGISLATION/REGLEMENTATION/REGLEMENTATION COMMUNAUTAIRE/EVALUATION/CONTROLE DE LEGALITE/CONTROLE FINANCIER/CONTENTIEUX ADMINISTRATIF/AIDE DEPARTEMENTALE/AIDE MUNICIPALE/REPARTITION DES COMPETENCES/AIDE DIRECTE/AIDE INDIRECTE/ETABLISSEMENT PUBLIC DE COOPERATION INTERCOMMUNALE/EPCI/ZONAGE/ZONE D'AMENAGEMENT DU TERRITOIRE/PAYS/COOPERATION DECENTRALISEE/DOCUMENT UNIQUE DE PROGRAMMATION/DOCUP/PRIME REGIONALE A LA CREATION D'ENTREPRISE/PRCE/PRIME REGIONALE A L'EMPLOI/PRE/AVANCE/GARANTIE D'EMPRUNT/CAUTIONNEMENT/IMMOBILIER D'ENTREPRISE/EVALUATION DES POLITIQUES PUBLIQUES;;;;2005-10-06
Prospective et politique;;Dossier;Collectif;Paris;FUTURIBLES;2012;978-2-84387-399-7;;Français;p.3-64;;;21 COL;POLITIQUE/ACTION POLITIQUE/ACTION PUBLIQUE/GRAND LYON/VILLE/2040/MIGRATION/FRANCE/CROISSANCE ECONOMIQUE /PROGRES TECHNIQUE;;N°386;juin-12;2012-06-22
Comment sauver l'industrie ?;;Revue;Collectif;Paris;Alternatives Economiques;2012;;0247-3739;Français;81 p.;ALTERNATIVES ECONOMIQUES;;47 COL;ECONOMIE/INDUSTRIE/PRODUCTION INDUSTRIELLE/MONDIALISATION/COMPETITIVITE/POLE DE COMPETITIVITE/EXPORTATION/REVOLUTION INDUSTRIELLE;;N°93;3ème trimestre 2012;2012-07-06
Métropoles et mondialisation;;Ouvrage;BRETAGNOLLE Anne/LE GOIX Renaud/VACCHIANI-MARCUZZO Céline;Paris;La Documentation française;2011;;0419-5361;;63 p.;Documentation photographique;N°8082;3122 BRE;URBANISME/POLITIQUE DE LA VILLE/VILLE/METROPOLE/METROPOLISATION/RESEAU URBAIN/ETALEMENT URBAIN/MONDIALISATION/RESEAU DE VILLES/RESEAU DE TRANSPORT/RESEAU DE COMMUNICATION/SOCIETE DE LA CONNAISSANCE/GOUVERNANCE URBAINE/MEGAPOLE/AEROTROPOLIS/INEGALITE MONDIALE/INEGALITE SPATIALE/INEGALITE URBAINE/ESPACE URBAIN/CENTRE-VILLE;;;;2012-01-19
L'économie verte;Un défi pour l'Europe;Ouvrage;PETIT Yves;Paris;La Documentation française;2009;978-2-11-007597-0;;Français;102 p.;L'ACTU FACILE;;326 PET;ENVIRONNEMENT/ECONOMIE/ECONOMIE VERTE/ENERGIE DURABLE/CLIMAT/ENERGIE/POLLUTION/POLLUTION ATMOSPHERIQUE/QUALITE DE L'AIR/TRANSPORT/VEHICULE PROPRE/DECHET/BIODIVERSITE/EAU/QUALITE DE L'EAU;;;;2012-10-01
Pour une histoire des politiques culturelles dans le monde 1945-2011;;Ouvrage;;Paris;La Documentation française;2011;978-2-11-008710-2;;Français;485 p.;TRAVAUX ET DOCUMENTS;N°28;61 POI;CULTURE/POLITIQUE CULTURELLE/ALLEMAGNE/AUSTRALIE/CANADA/DANEMARK/ESPAGNE/ETATS UNIS/FINLANDE/FRANCE/GRECE/ITALIE/ROYAUME-UNI/SUEDE/SUISSE;;;;2011-10-25
Argent et politique;Usages, frontières, régulations;Dossier;;Paris;La Documentation française;2011;;0015-9743;Français;130 p.;PROBLEMES POLITIQUES ET SOCIAUX;N°985;2122 PHE;POLITIQUE/ARGENT;;;;2011-09-16
L'intelligence économique et ses dérives;;Dossier;Collectif;Paris;La Documentation française;2011;;0032-9304;Français;p.3-33;PROBLEMES ECONOMIQUES;N°3025;41 COL;ECONOMIE/ECONOMIE GENERALE/INTELLIGENCE ECONOMIQUE/ENTREPRISE/INFORMATION ECONOMIQUE/PROTECTION DE L'INFORMATION/ESPIONNAGE/WIKILEAKS/GEOECONOMIE/STRATEGIE ECONOMIQUE/DIPLOMATIE/INTELLIGENCE TERRITORIALE/CLUSTER/ESPIONNAGE INDUSTRIEL;;;;2011-09-09
La Chine face à la montée des incertitudes;;Dossier;Collectif;Paris;La Documentation française;2011;;;Français;p.1-26;PROBLEMES ECONOMIQUES;N°3021;83 COL;ECONOMIE/ECONOMIE  MONDIALE/CHINE/INFLATION/GREVE/ACTION COLLECTIVE/CROISSANCE ECONOMIQUE/MARCHE INTERIEUR;;;;2011-07-18
L'âge des métapoles;;Ouvrage;ASCHER FRANCOIS;Paris;Editions de l'Aube;2009;9-782815-900171;;Français;388 p.;MONDE EN COURS;;312 ASC;URBANISME/VILLE/MEGAPOLE/METAPOLE/URBANISATION/QUESTION POLITIQUE/GRAND PARIS/REGION ILE DE FRANCE;;;;2011-11-01
Travailler plus longtemps;;Revue;JOLIVET Annie;Paris;La Documentation française;2010;;0015-9743;Français;181 p.;PROBLEMES POLITIQUES ET SOCIAUX;N°973-974;144 JOL;QUESTIONS SOCIALES/TRAVAIL/DUREE DU TRAVAIL/RETRAITE/VIEILLISSEMENT/CONDITIONS DE TRAVAIL/PENSION/DISPARITE HOMME/FEMME/CUMUL EMPLOI RETRAITE/PENIBILITE/AGE DE LA RETRAITE;;;;2010-09-27
Guide pratique pour la mise en place de réglements intérieurs;;Ouvrage;BONAMY Patricia;Voiron;Territorial Editions;2008;;;Français;94 p.;DOSSIER D'EXPERTS;;735 BON;ASSEMBLEE/ASSEMBLEE DELIBERANTE/ASSEMBLEE TERRITORIALE/ASSEMBLEE REGIONALE/REGLEMENT INTERIEUR/COMMUNICATION INSTITUTIONNELLE/METHODOLOGIE/PROCEDURE;;;;2010-02-08
Conseils régionaux;La politique autrement;Ouvrage;DUMONTEIL Jean;Paris;Secteur public;2010;978-2-917483-03-9;;Français;171 p.;;;245 DUM;INSTITUTIONS/REGION/DEMOCRATIE/GOUVERNANCE/DEVELOPPEMENT ECONOMIQUE/DEVELOPPEMENT DURABLE/CONSEIL REGIONAL;;;;2016-09-20
Contentieux administratif;;Ouvrage;DAEL Serge;Paris;PUF;2006;9-782130-571704;;Français;305 p.;Thémis droit;;22411 DAE;JURIDICTION ADMINISTRATIVE/CONTENTIEUX ADMINISTRATIF/TRIBUNAL ADMINISTRATIF/EXCES DE POUVOIR/JUGE ADMINISTRATIF/LITIGE/REPRESSION/DELAI DE RECOURS/REQUETE/INSTRUCTION/EXPERTISE ADMINISTRATIVE/JUGEMENT/REFERE/VOIE DE RECOURS;;;;2010-03-15
Le droit de l'internet;;Ouvrage;FAUCHOUX Vincent/DEPREZ Pierre/DUMONT Frédéric/BRUGUIERE Jean-Michel;Paris;LexisNexis Litec;2017;978-2-7110-2670-8;;Français;431 p.;;;7253 FAU;INTERNET/DROIT DE L'INTERNET/DROIT D'AUTEUR/PUBLICITE/DONNEE PERSONNELLE/MARQUE/COMMERCE ELECTRONIQUE/DROIT DE LA COMMUNICATION;;;;2018-06-14
Quelles sont les ressources de la chimie verte;;Ouvrage;SARRADE Stéphane;Les Ulis;EDP SCIENCES;2008;;;Français;193 P.;Bulles de sciences;;417 SAR;CHIMIE/CHIMIE VERTE/ENERGIE/DEVELOPPEMENT DURABLE;;;;2009-05-20
Les espaces de la net-économie;Clusters TIC et aménagement  numérique des territoires;Ouvrage;VICENTE Jérôme;Paris;Economica;2005;;;Français;148 p.;Nouvelles technologies de l'information et de la communication;;7253 VIC;CLUSTERS TIC/TIC/NET ECONOMIE/GEOGRAPHIE ECONOMIQUE;;;;2009-04-30
La légitimité démocratique;;Ouvrage;ROSANVALLON Pierre;Paris;SEUIL (Editions du);2008;;;Français;367 p.;Les livres du nouveau monde;;2112 ROS;DEMOCRATIE/REPRESENTATION/LEGITIMITE/IMPARTIALITE/PROXIMITE/;;;;2009-09-04
L'empreinte écologique;;Ouvrage;BOUTAUD Aurélien/GONDRAN Natacha;Paris;La découverte;2009;;;Français;122 p.;Collection Repères;;327 BOU;ENVIRONNEMENT/ECOLOGIE;;;;2009-03-26
La conduite des réunions;Les fondamentaux du travail en groupe;Ouvrage;MUCCHIELLI Roger;Issy-les-Mmoulineaux;ESF;2005;;;Français;191 P.;Formation Permanente;;1414 MUC;RESSOURCES HUMAINES/CONDUITE DE REUNION/PRISE DE PAROLE/GROUPE;;;;2009-12-03
Le réseau ferroviaire : une réforme inachevée, une stratégie incertaine;Rapport public  thématique Cour des comptes;Ouvrage;COUR DES COMPTES;Paris;Documentation Française (la);2008;;;Français;169 p.;;;3341 COU;RESEAU FERROVIAIRE/SNCF/RESEAU FERRE DE FRANCE;;;;2009-01-29
Guide budgétaire communal, départemental et régional 2008;;Ouvrage;MINISTERE DE L'INTERIEUR ET DE L'AMENAGEMENT DU TERRITOIRE/DGCL;Paris;La Documentation française;2008;;;Français;128 p;;;272 MIN;FINANCES LOCALES/BUDGET LOCAL/FISCALITE LOCALE/DOTATION;;;;2008-06-27
Evènements et territoires;Aspects managériaux et études de cas;Ouvrage;ARNAUD Charlène/KERAMIDAS Olivier/PASQUIER Martial/VUIGNIER Renaud;Bruxelles;Bruylant;2017;978-2-8027-6049-8;2294-5970;;432 p.;Administration publique aujourd'hui;;3114 ARN;ATTRACTIVITE TERRITORIALE/MARKETING TERRITORIAL/PROJET DE TERRITOIRE/GESTION DU TERRITOIRE/MANAGEMENT PUBLIC TERRITORIAL/GOUVERNANCE TERRITORIALE/ETUDE DE CAS;;;;2018-11-09
Les finances des collectivités locales en 2018 : état des lieux;Rapport de l'Observatoire des finances et de la gestion publique locales;Ouvrage format pdf;GUENE Charles (rapporteur);;;2018;;;;194 P.;;;272 GUE;FINANCES LOCALES/DEPENSE D'INVESTISSEMENT/DEPENSE DE FONCTIONNEMENT;;;;2018-07-26
La contractualisation de l'action publique locale;Des collectivités territoriales libres ou sous contrainte ?;Ouvrage;;Paris;L'Harmattan;2018;978-2-343-14596-9;;;241 p.;;;2612 ALL;COLLECTIVITE TERRITORIALE/ACTION PUBLIQUE/ACTION PUBLIQUE LOCALE/CONTRAT/CONTRACTUALISATION/PRINCIPE DE LIBRE ADMINISTRATION/ACTION EXTERIEURE/CONVENTION;;;;2018-07-17
Rôle et responsabilité des opérateurs de la plateforme en ligne : approche(s) transversale(s) ou approches sectorielles ?;;Ouvrage;;Paris;IRJS;2018;978-2-919211-79-1;;;183 p.;BIBLIOTHEQUEDE L'IRJS - ANDRE TUNC;;70 SEN;INFORMATION/PLATEFORME /PLATEFORME NUMERIQUE/PLATEFORME EN LIGNE/DROIT D'AUTEUR/DROIT DE L'INTERNET/COMMERCE ELECTRONIQUE;;;;2018-06-21
Comment va le monde ?;;Dossier;Collectif;Auxerre;Sciences Humaines;2018;;0996-6994;;p. 24-73;SCIENCES HUMAINES;;83 COL;MONDE/SANTE/CHANGEMENT CLIMATIQUE/EMPLOI/VIOLENCE;;N°300S;;2018-01-25
La protection sociale complémentaire dans la FPT;De son origine à sa gestion par les mutuelles;Ouvrage;BOUQUILLON Christian;Voiron;Territorial Editions;2017;978-2-8186-1316-0;;;126 p.;LES ESSENTIELS;;144 BOU;FONCTION PUBLIQUE TERRITORIALE/PROTECTION SOCIALE/SANTE/COMPLEMENTAIRE DE SANTE;;;;2018-12-01
Les enjeux contemporains du tourisme;Une approche géographique;Ouvrage;STOCK Mathis/COEFFE Vincent/VIOLIER Philippe;Rennes;Presses Universitaires de Rennes;2017;978-2-7535-5924-0;;;500 p.;DIDACT GEOGRAPHIE;;62 STO;TOURISME/GEOGRAPHIE/ECONOMIE TOURISTIQUE/LIEUX TOURISTIQUES/GEOGRAPHIE CULTURELLE/GEOGRAPHIE ECONOMIQUE/GEOGRAPHIE POLITIQUE/GEOGRAPHIE SOCIALE/SCIENCES HUMAINES;;;;2018-10-01
Exigences écologiques et transformations de la société;;Dossier;Collectif;Paris;La Documentation française;2017;;0008-0217;;p.1-74;CAHIERS FRANCAIS;N°401;327 COL;ECOLOGIE/DEVELOPPEMENT DURABLE/VILLE INTELLIGENTE/TRANSITION ECOLOGIQUE/TRANSITION ENERGETIQUE;;401;Novembre-décembre 2017;2017-11-23
L'autonomie financière des collectivités territoriales;;Ouvrage;;Paris;Economica;2017;978-2-7178-6922-4;;;441 p.;FINANCES PUBLIQUES;;272 LER;BUDGET/FINANCES PUBLIQUES/FINANCES LOCALES/COLLECTIVITES TERRITORIALES/AUTONOMIE FINANCIERE/AUTONOMIE LOCALE/AUTONOMIE FISCALE/EMPRUNT/COMPENSATION FINANCIERE/TRANSFERT DE COMPETENCES/REFORME TERRITORIALE/INVESTISSEMENT PUBLIC/BELGIQUE/BRESIL/TUNISIE/TAIWAN;;;;2018-12-14
La juridiction administrative;;Ouvrage;GERARD Patrick;Paris;La Documentation française;2017;978-2-11-145374-6;;;229 p.;DECOUVERTE DE LA VIE PUBLIQUE;;22411 GER;ADMINISTRATION/DROIT ADMINISTRATIF/JURIDICTION ADMINISTRATIVE/CONSEIL D'ETAT/PROPOSITION DE LOI/MAGISTRAT ADMINISTRATIF/TRIBUNAL ADMINISTRATIF/COUR ADMINISTRATIVE D'APPEL/COUR NATIONALE DU DROIT D'ASILE/JURIDICTION FINANCIERE/CONSEIL SUPERIEUR DE LA MAGISTRATURE/CONCOURS ADMINISTRATIF;;;;2017-09-25
Le point sur... les 30 ans du Bac Pro;;Revue;Collectif;Paris;Direction générale de l'enseignement scolaire;2016;;;;119 p.;;;514 COL;EDUCATION/ENSEIGNEMENT/ENSEIGNEMENT TECHNOLOGIQUE/BACCALAUREAT PROFESSIONNEL/BAC PRO/HISTOIRE;;;Second semestre 2016;2017-07-18
La composition écrite sur un sujet d'ordre général;;Ouvrage;LOMONT Denis;Paris;Ellipses;2016;978-2-340-01222-6;;;431 p.;CONCOURS ADMINISTRATIFS;;25 LOM;ADMINISTRATION/CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/COMPOSITION/CULTURE GENERALE/EPREUVE ECRITE/FONCTION PUBLIQUE;;;;2017-07-18
Le leader collectif;Un nouvel art du pouvoir;Ouvrage;BOFFA-COMBY Paule;Paris;Dunod;2017;978-2-10-075906-4;;;214 p.;MANAGEMENT/LEADERSHIP;;1414 BOF;RESSOURCES HUMAINES/MANAGEMENT/LEADER/LEADERSHIP/MANAGER/CONFIANCE/CONFIANCE COLLECTIVE/PERFORMANCE/MANAGEMENT DE LA PERFORMANCE;;;;2017-06-23
Les vies étudiantes;Tendances et inégalités;Ouvrage;/;Paris;La Documentation française;2016;978-2-11-010267-6;;;312 p.;ETUDES ET RECHERCHES;;513 GIR;EDUCATION/ENSEIGNEMENT/ENSEIGNEMENT SUPERIEUR/ETUDIANT/VIE ETUDIANTE/REVENU/LOGEMENT/ETUDE/FILLE/TEMPS LIBRE/TRAVAIL/CONDITION DE VIE/FAMILLE/EMPLOI/SANTE/ACCES AUX SOINS/SOINS/ETUDIANT ETRANGER/ETUDIANT-PARENT;;;;2017-01-03
Energies marines renouvelables 2015;;Revue;Collectif;Rennes;Le Marin;2015;;1149-9877;;52 p.;;;432 COL;ENVIRONNEMENT/ENERGIE/ENERGIE EOLIENNE/ENERGIE MARINE/ENERGIE DURABLE/PAYS DE LA LOIRE/AQUITAINE/ENERGIE OFFSHORE/ENERGIE HYDRAULIQUE/ENERGIE THERMIQUE/MONTOIR-DE-BRETAGNE/VENDEE/ILE D'YEU/PARC EOLIEN;;Hors-série;mai-15;2017-08-02
Le Déméter 2017;Economie et stratégies agricoles;Ouvrage;Collectif;Paris;club Demeter;2016;;11662115;;480 p.;;;83 COL;AGRICULTURE/POPULATION AGRICOLE/PROFESSION AGRICOLE/LIBRE ECHANGE/UKRAINE/FILIERE AGRICOLE/EXPORTATION AGRICOLE/RUSSIE/CHINE/POLITIQUE AGRICOLE/CONSOMMATION ALIMENTAIRE/PORC/VOLAILLE/OEUF/LAIT/RIZ/BLE/MAIS/IMPORTATION/ENVIRONNEMENT/PROTEINE/ELEVAGE/AGRICULTURE BIOLOGIQUE/SURFACE ADRICOLE/CHIFFRES-CLES/AGRICULTURE DURABLE/AGRICULTURE MONDIALE//UNION EUROPEENNE;;;;2017-10-01
Comment évaluer l'impact des politiques publiques ?;Un guide à l'usage des décideurs et praticiens;Ouvrage format pdf;DESPLATZ Rozenn/FERRACCI Marc;Paris;France Stratégie;2016;;;;67 p.;;;263 DES;ADMINISTRATION/ACTION ADMINISTRATIVE/EVALUATION POLITIQUE/POLITIQUE PUBLIQUE;;;;2016-06-10
Droit de l'intercommunalité;Les règles qui régissent la créationLe fonctionnement et les compétences des établissements publics de coopération intercommunale (EPCI);Ouvrage;BENCHENDIKH François;Paris;Gualino;2016;978-2-297-04878-1;;;231 p.;FONCTION PUBLIQUE TERRITORIALE;;2423 BEN;INSTITUTIONS/INSTITUTIONS ADMINISTRATIVES/COLLECTIVITES TERRITORIALES/COOPERATION INTERCOMMUNALE/INTERCOMMUNALITE/EPCI/DROIT DE L'INTERCOMMUNALITE/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/CONCOURS DE CATEGORIE B;;;;2016-09-16
Droits et devoirs de l'élu municipal et intercommunal;;Ouvrage;BEGUIN Isabelle;Voiron;Territorial Editions;2015;978-2-8186-0890-6;;;83 P.;L'ESSENTIEL  SUR;;2411 BEG;ADMINISTRATION/COLLECTIVITES TERRITORIALES/COLLECTIVITES LOCALES/ELU/ELU LOCAL/ELU INTERCOMMUNAL/STATUT/DROIT DE LA FORMATION/DROIT A L'INFORMATION/PROTECTION FONCTIONNELLE/PROTECTION SOCIALE/DROITS ET OBLIGATIONS/OBLIGATIONS/DROIT D'EXPRESSION/SANCTION ADMINISTRATIVE;;;;2017-07-27
Les objets connectés;Sécurité et technique;Ouvrage;PIETTE-COUDOL Thierry;Paris;Lexis nexis;2015;978-2-7110-2226-7;;;126 p.;ACTUALITE;;442 PIE;INNOVATION/OBJET CONNECTE/DROIT/SMART GRIDS/SECURITE JURIDIQUE;;;;2016-06-14
Optimiser la commande publique;Organisation, acteurs et méthodes d'un service achats performant;Ouvrage;MARAVAL Philippe;Paris;Dunod;2015;978-2-10-073845-8;;;248 p.;;;26121 MAR;ADMINISTRATION/BUDGET/ACHAT/ACHAT PUBLIC DURABLE/ACHAT RESPONSABLE/SERVICE ACHAT/MARCHE/MARCHE PUBLIC/CAHIER DES CHARGES/CONCURRENCE/MISE EN CONCURRENCE/COMMANDE PUBLIQUE/ACHAT GROUPE;;;;2016-08-04
Dictionnaire encyclopédique de l'Etat;;Dictionnaire;;Paris;Berger-Levrault;2014;978-2-7013-1862-2;;;998 p.;;;23 MBO;INSTITUTIONS/INSTITUTIONS ADMINISTRATIVES/ETAT/DICTIONNAIRE;;;;2016-03-29
L'apprentissage;Donner la priorité aux moins qualifiés;Ouvrage;CAHUC Pierre/FERRACCI Marc;Paris;Sciences po, les presses;2015;978-2-7246-1795-5;;;98 p.;Sécuriser l'emploi;;531 CAH;EDUCATION/FORMATION/APPRENTISSAGE/ENSEIGNEMENT PROFESSIONNEL/JEUNE/INSERTION PROFESSIONNELLE/FORMATION EN ALTERNANCE/QUALIFICATION;;;;2016-02-02
Droit administratif général;;Ouvrage;LEBRETON Gilles;Paris;DALLOZ;2015;978-2-247-15184-4;;;599 p.;COURS DALLOZ;;22 LEB;ADMINISTRATION/DROIT ADMINISTRATIF/ACTION ADMINISTRATIVE/LOI/TRAITE/PRINCIPES FONDAMENTAUX/PRINCIPE DE LA LEGALITE/PRINCIPE DE LEGALITE/PRINCIPE GENERAL DU DROIT/SERVICE PUBLIC/POLICE ADMINISTRATIVE/CONTROLE/CONTROLE ADMINISTRATIF/JURIDICTION ADMINISTRATIVE/JUGE ADMINISTRATIF/RESPONSABILITE/CONTENTIEUX/CONTENTIEUX ADMINISTRATIF/RECOURS/EXCES DE POUVOIR/DECISION JURIDICTIONNELLE/DECISION DE JUSTICE/CONCOURS/CONCOURS ADMINISTRATIF;;;;2016-01-14
Ingénieur territorial;Concours externe et interne, examen professionnel;Ouvrage;BERGE Pelo/BAGUENARD Nicolas/ROUX Nathalie;Paris;Foucher;2015;978-2-216-12879-2;;;223 p.;VISA;;252 BER;ADMINISTRATION/FONCTION PUBLIQUE TERRITORIALE/INGENIEUR TERRITORIAL/CONCOURS/CONCOURS ADMINISTRATIF;;;;2015-11-26
L'essentiel des finances publiques à l'heure européenne;;Ouvrage;DEGRON Robin;Issy-Les-Moulineaux;Gualino;2017;978-2-297-06391-3;;;168 p.;LES CARRES;;27 DEG;BUDGET/FINANCES PUBLIQUES/LOI DE FINANCES/ADMINISTRATION PUBLIQUE/APUC/FINANCES LOCALES/LOI DE FINANCEMENT DE LA SECURITE SOCIALE/FINANCES DE LA SECURITE SOCIALE/GESTION BUDGETAIRE/GESTION COMPTABLE/EXECUTION DU BUDGET/CONTROLE BUDGETAIRE/CONTROLE ADMINISTRATIF/CONTROLE DE L'ETAT/CONTROLE DES COMPTES/EVALUATION DES POLITIQUES PUBLIQUES/COUR DES COMPTES/CONCOURS/CONCOURS ADMINISTRATIF;;;;2017-09-02
Atlas de la flore de Maine-et-Loire;Flore vasculaire;Ouvrage;GESLIN Julien/LACROIX Pascal/LE BAIL Jean;;naturalia;2015;979-10-945830-4-3;;;605 p.;ATLAS FLORISTIQUE DES PAYS DE LA LOIRE;;1142 GES;GEOGRAPHIE/FLORE/ATLAS/MAINE ET LOIRE/PLANTE/FLORE SAUVAGE;;;;2015-07-24
Organiser  et optimiser ses achats;;Ouvrage;HUGUET Hervé;Voiron;Territorial éditions;2015;978-2-8186-0784-8;;Français;162 p.;Dossier d'experts;693;26121 HUG;FINANCES LOCALES/FINANCES PUBLIQUES/ACHAT/ACHAT PUBLIC/COMMANDE PUBLIQUE/COLLECTIVITE TERRITORIALE/COMPTABILITE/COMPTABILITE PUBLIQUE;;;;2015-07-15
La Chine dans l'impasse;;Dossier;Collectif;Paris;La Documentation française;2015;;0032-9304;;p.05-43;PROBLEMES ECONOMIQUES;;83 COL;VIE INTERNATIONALE/CHINE/CROISSANCE ECONOMIQUE /INDUSTRIE/COMMERCE EXTERIEUR/ECONOMIE/POLLUTION/YUAN;;N°3114;06.2015;2015-06-29
La Smart city en 10 questions;;Ouvrage;EMMERICH Sarah;Voiron;Territorial Editions;2014;978-2-8186-0760-2;;;76 p.;ESSENTIEL (L') SUR;;725 EMM;COMMUNICATION/INFORMATION/VILLE/TIC/VILLE INTELLIGENTE/SMART CITY/VILLE NUMERIQUE/ECONOMIE NUMERIQUE/ENVIRONNEMENT/SMART GRIDS/ENERGIE/CONSOMMATION D'ENERGIE/ENERGIE POSITIVE/E-ADMINISTRATION/SYSTEME D'INFORMATION/OPEN DATA/DEMATERIALISATION/INTELLIGENCE COLLECTIVE/AMENAGEMENT NUMERIQUE/CITOYEN CONNECTE;;;;2015-06-24
Mixité, quand les hommes s'engagent;Explications. Propositions. Actions;Ouvrage;;Paris;Eyrolles;2015;978-2-212-56147-0;;;263 p.;;;144 MAT;DEMOGRAPHIE/POPULATION/HOMME/FEMME/MIXITE/MIXITE PROFESSIONNELLE/MANAGEMENT/ENTREPRISE;;;;2015-06-15
Souffrances hiérarchiques au travail;L'exemple du secteur public;Ouvrage;;Paris;L'Harmattan;2014;978-2-343-02349-6;;;237 P.;LOGIQUES SOCIALES;;1414 FER;RESSOURCES HUMAINES/TRAVAIL/CONDITIONS DE TRAVAIL/STRESS/SOUFFRANCE/MAL-ETRE/MANAGEMENT/ENCADREMENT/ENCADREMENT DE PROXIMITE/EVALUATION/VIOLENCE/HIERARCHIE/QUALITE DU TRAVAIL/RISQUE PSYCHOSOCIAL/SERVICE PUBLIC;;;;2014-12-26
Diagnostic des risques;Identifier, analyser et cartographier les vulnérabilités;Ouvrage;GAULTIER-GAILLARD Sophie/LOUISOT Jean-Paul;La Pleine Saint-Denis;Afnor;2014;978-2-12-465445-1;;;206 p.;;;45 GAU;ENTREPRISE/GESTION DES RISQUES/EVALUATION DES RISQUES/RISQUES/SURVEILLANCE DES RISQUES/PREVENTION DES RISQUES/MAITRISE DES RISQUES/DIAGNOSTIC;;;;2014-03-10
Droit des collectivités territoriales;;Ouvrage;DONIER Virginie;Paris;DALLOZ;2017;978-2-247-16084-6;;;200 p.;LES MEMENTOS;;24 DON;ADMINISTRATION/ADMINISTRATION LOCALE/COLLECTIVITES TERRITORIALES/DROIT/RELATIONS ETAT COLLECTIVITE LOCALE/AUTONOMIE LOCALE/ACTEUR LOCAL/ETABLISSEMENT PUBLIC/CITOYEN/RELATIONS COLLECTIVITE LOCALE CITOYEN/COMPETENCE/GESTION DES COMPETENCES/CONCOURS ADMINISTRATIF/CONCOURS;;;;2016-07-12
La protection fonctionnelle;Agressions, menaces, diffamations, poursuites pénales...;Ouvrage;BERNARD-GUILLAUMONT Cécile/GUILLAUMONT Olivier;Voiron;Territorial Editions;2013;978-2-8186-0537-0;;;151 p.;DOSSIER D'EXPERTS;;25 BER;ADMINISTRATION/FONCTION PUBLIQUE /AGENT PUBLIC/FONCTIONNAIRE/ELU/STATUT/STATUT DE LA FONCTION PUBLIQUE/PROTECTION FONCTIONNELLE;;;;2014-04-06
